Data Source, Old Variable name, New Variable Name, Unit (no unit for no units)

UNIT, TimeUS, Time, US
UNIT, Id, Id, unavailable
UNIT, Label, Label, unavailable
FMTU, TimeUS, Time, US
FMTU, FmtType, FmtType, unavailable
FMTU, UnitIds, UnitIds, unavailable
FMTU, MultIds, MultIds, unavailable
MULT, TimeUS, Time, US
MULT, Id, Id, unavailable
MULT, Mult, Mult, unavailable
PARM, TimeUS, Time, US
PARM, Name, Name, unavailable
PARM, Value, Value, unavailable
TECS, TimeUS, Time, US
TECS, h, Height_Estimate, m
TECS, dh, Climb_Rate, mpers
TECS, hdem, Target_Height, m
TECS, dhdem, Target_Climb_Rate, mpers
TECS, spdem, Target_TAS, mpers
TECS, sp, TAS, mpers
TECS, dsp, X_Acceleration, mperspers
TECS, ith, Throttle_Integrator_Value, unavailable
TECS, iph, Specific_Energy_Balance_Integrator_Value, unavailable
TECS, th, Throttle_Out, unavailable
TECS, ph, Pitch_Out, degrees
TECS, dspdem, Dem_Acceleration_Out, mpers
TECS, w, TECS_Speed_Height_Priority, no unit
TECS, f, Flags, unavailable
GPS, TimeUS, Time, US
GPS, Status, Status, unavailable
GPS, GMS, GMS, unavailable
GPS, GWk, GWk, unavailable
GPS, NSats, Number_of_Satellites, no unit
GPS, HDop, HDop, unavailable
GPS, Lat, latitude, degrees latitude
GPS, Lng, longitude, degrees longitude
GPS, Alt, Altitude, m
GPS, Spd, Groundspeed, mpers
GPS, GCrs, Ground_Course, degrees
GPS, VZ, VZ, mpers
GPS, Yaw, Yaw, degrees
GPS, U, U, no unit
GPS2, TimeUS, Time, US
GPS2, Status, Status, unavailable
GPS2, GMS, GMS, unavailable
GPS2, GWk, GWk, unavailable
GPS2, NSats, NSats, unavailable
GPS2, HDop, HDop, unavailable
GPS2, Lat, Latitude, degrees latitude
GPS2, Lng, longitude, degrees longitude
GPS2, Alt, Altitude, m
GPS2, Spd, Groundspeed, mpers
GPS2, GCrs, Ground_Course, degrees
GPS2, VZ, VZ, mpers
